ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,HOA Fee
ML81859120,33,3500,1280000,1319400,1917,4,4,1,Y,2,2008,143
ML81843796,11,3500,1280000,1415000,1587,4,2,0,Y,2,1963,0
ML81840371,5,3500,1288000,1330000,1740,4,2,1,Y,2,1997,95
ML81775841,14,3500,1288000,1330000,2768,5,3,0,Y,2,1991,0
ML81826263,0,3500,1288000,1348000,1740,4,2,0,Y,2,1962,0
ML81791969,25,3500,1288888,1300000,2102,4,3,0,Y,2,1958,145
ML81838081,11,3500,1295000,1310000,1643,4,2,0,Y,2,1961,18
ML81841090,7,3500,1295000,1535000,1645,3,2,0,Y,2,1965,0
ML81769895,16,3500,1295999,1300000,2186,4,3,0,Y,2,1977,0
ML81796922,7,3500,1298000,1400000,1830,4,2,0,Y,2,1971,0
ML81859598,1,3500,1298000,1580000,1503,4,2,0,Y,1,1977,0
ML81812150,45,3500,1298800,1250000,1908,4,3,0,Y,2,1962,0
ML81844635,14,3500,1298888,1530000,1423,3,2,0,Y,2,1954,0
ML81835581,0,3500,1299000,1380000,1585,4,2,0,Y,2,1964,0
ML81830117,11,3500,1299999,1501000,1611,4,2,0,Y,2,1967,0
ML81740104,9,3500,1299999,1255000,1816,4,2,2,Y,2,1954,0
ML81820714,9,3500,1300000,1300000,4194,4,3,1,Y,3,1976,0
ML81836124,6,3500,1300000,1300000,1226,3,2,0,Y,2,1964,0
ML81752191,19,3500,1300000,1280000,1790,3,2,1,Y,2,1995,0
ML81830265,7,3500,1300000,1412000,1480,3,2,0,Y,2,1972,0
ML81847350,10,3500,1328000,1450000,1824,4,2,1,Y,2,1988,65
ML81831772,7,3500,1330000,1330000,2054,4,3,0,Y,2,1997,85
ML81825976,12,3500,1348000,1610000,1830,4,2,0,Y,2,1970,0
ML81766083,28,3500,1359000,1330000,2186,4,3,0,Y,2,1976,0
ML81798279,23,3500,1368000,1320000,1980,4,3,0,Y,2,1972,0
ML81830364,5,3500,1369888,1555000,1932,4,2,0,Y,2,1963,0
ML81821488,57,3500,1369900,1365000,1652,3,2,1,Y,2,1978,0
ML81756662,11,3500,1375000,1400000,2194,4,2,1,Y,2,1999,150
ML81820152,6,3500,1375000,1500000,2325,4,3,0,Y,2,2010,195
ML81833686,5,3500,1380000,1730100,2336,4,3,0,Y,2,1965,0
ML81848071,7,3500,1388000,1668000,2154,4,3,1,Y,2,2016,149
ML81840416,6,3500,1388000,1630000,2154,4,3,1,Y,2,2016,149
ML81852828,5,3500,1395000,1765000,1942,4,2,0,Y,2,1971,0
ML81849429,16,3500,1395000,1428888,1760,4,3,0,Y,2,1965,0
ML81837771,4,3500,1398000,1725000,2160,4,3,0,Y,2,1965,0
ML81860039,18,3500,1398000,1455060,1242,3,2,0,Y,2,1958,255
ML81853250,7,3500,1398888,1550000,1714,4,2,0,Y,2,1972,0
ML81769897,35,3500,1398950,1392000,2040,4,2,0,Y,2,1957,185
ML81858982,8,3500,1399000,1615000,1564,4,2,0,Y,2,1961,0
ML81841218,8,3500,1420000,1420000,1416,3,2,1,Y,2,1989,0
ML81853420,22,3500,1428000,1428000,1751,4,2,0,Y,2,1965,0
ML81861143,11,3500,1490000,1833000,1771,4,2,0,Y,2,1987,0
ML81813286,2,3500,1495000,1595000,2462,4,3,0,Y,3,2000,148
ML81851617,6,3500,1498000,1700000,2325,4,3,0,Y,2,2010,205
ML81847334,11,3500,1498000,1500000,2293,4,2,1,Y,2,1969,0
ML81860276,4,3500,1498888,1780111,1579,3,2,0,Y,2,1972,0
ML81855266,6,3500,1499000,1785000,1708,4,2,0,Y,2,1972,0
ML81854029,11,3500,1499000,1640000,1857,4,2,0,Y,2,1982,0
ML81836433,6,3500,1499000,1580000,1950,3,2,1,Y,2,1959,216
ML81840772,8,3500,1500000,1765000,1763,4,3,0,Y,2,1955,18
ML81846629,8,3500,1548800,1800000,2869,4,3,1,Y,2,2016,149
ML81772686,50,3500,1588000,1500000,3340,5,3,0,Y,2,1991,27
ML81762142,6,3500,1590000,1690000,2755,4,3,2,Y,2,1963,180
ML81753026,8,3500,1590000,1680000,2643,5,3,0,Y,2,1959,180
ML81862096,5,3500,1598000,1775000,1807,3,2,1,Y,2,1954,255
ML81830447,37,3500,1599000,1610011,1914,4,2,0,Y,2,1985,0
ML81842092,8,3500,1600000,1650000,1587,4,2,0,Y,2,1962,0
ML81827176,0,3500,1660000,1660000,2103,3,2,1,Y,2,1959,21
ML81848168,8,3500,1688800,1775000,2508,5,3,0,Y,2,1964,0
ML81808117,55,3500,1725000,1720000,3281,4,3,1,Y,2,1976,0
ML81842212,12,3500,1888888,1700000,3846,4,3,1,Y,2,1991,0
ML81803397,36,3500,2350000,2200000,3418,4,4,0,Y,3,1952,216
40862371,17,3700,500000,510000,471,2,1,0,N,0,1905,0
40886074,9,3700,550000,600000,841,2,1,0,Y,1,1951,0
ML81811876,3,3700,550000,530000,945,2,1,0,N,0,1970,385
40953803,4,3700,600000,672000,1250,0,0,0,Y,1,1955,0
40942432,12,3700,600000,600000,702,2,1,0,N,2,1900,0
40849006,11,3700,620000,721000,1112,3,2,0,Y,2,1954,0
40898782,9,3700,629000,672000,760,2,1,0,Y,2,1923,0
40872374,14,3700,647700,750000,1320,3,2,0,Y,2,1959,180
SF486777,14,3700,647700,750000,1320,3,2,0,N,0,1959,0
ME19045915,14,3700,647700,750000,1320,3,2,0,Y,2,1959,180
40843149,107,3700,650000,610000,748,2,1,0,Y,2,1905,0
40890088,8,3700,659900,700000,1038,3,1,1,Y,1,1957,0
40856975,12,3700,680000,650000,841,2,1,0,N,1,1950,0
40859290,10,3700,680000,735000,925,3,1,0,Y,1,1955,0
40853182,10,3700,689000,730000,960,2,1,0,Y,2,1971,0
40943651,6,3700,689000,725000,688,2,1,0,Y,0,1922,0
40880224,45,3700,695000,695600,1152,3,1,0,N,0,1918,0
40902782,8,3700,698000,615000,950,3,1,0,Y,1,1955,0
ML81806820,9,3700,699000,890000,1427,4,4,0,Y,2,1963,0
40876141,30,3700,699000,701000,927,3,2,0,N,0,1906,0
40945938,6,3700,699000,1035000,703,2,1,0,Y,1,1953,0
40916509,25,3700,699000,751000,1050,2,1,0,Y,2,1963,45
40896795,2,3700,699000,715000,921,2,1,0,Y,1,1950,0
40935642,8,3700,699000,1043000,1423,3,2,0,Y,2,1954,0
40875599,66,3700,699000,525000,616,1,1,0,N,0,1908,0
40916044,12,3700,699000,890000,1427,4,4,0,Y,2,1963,0
40915531,8,3700,699000,755000,950,3,1,0,Y,2,1958,0
40871712,40,3700,699888,692000,1250,4,1,0,N,0,1955,0
40883403,17,3700,699888,705000,747,2,1,0,Y,1,1952,0
40950276,6,3700,699900,761000,960,2,1,0,Y,2,1970,0
40873703,46,3700,699950,710000,950,3,1,0,Y,1,1955,0
40858108,26,3700,699988,726000,950,3,1,0,Y,1,1955,0
ML81743608,55,3700,699988,726000,950,3,1,0,Y,1,1955,0
40872592,31,3700,699999,700000,682,2,1,0,N,0,1896,0
40871809,54,3700,700000,700000,1092,2,1,0,Y,0,1933,0
ML81816834,5,3700,700000,790000,925,3,1,0,Y,1,1954,0
40949161,11,3700,700000,950000,975,2,1,0,Y,1,1942,0
40907451,7,3700,709888,730000,961,2,1,0,Y,1,1951,0
40858231,5,3700,715000,740000,1037,3,1,0,Y,2,1950,0
40924905,4,3700,718888,840000,841,2,1,0,Y,1,1953,0
ML81776196,14,3700,719000,721000,925,3,1,0,N,0,1954,0
40889622,14,3700,719000,721000,925,3,1,0,N,0,1954,0
40877296,9,3700,725000,769000,972,2,2,0,Y,2,1973,0
SF488308,7,3700,725000,769000,988,2,2,0,N,0,1973,0
