ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40851988,10,3700,"$780,000 ","$840,000 ",1008,3,2,0,Y,2,1960,"6,653",,3/15/19
40853807,9,3700,"$1,048,000 ","$1,050,000 ",1422,3,2,1,Y,2,1994,"5,267",,3/15/19
40850240,26,3700,"$1,095,000 ","$1,085,000 ",1340,4,2,0,Y,2,1954,"5,300",,3/15/19
40851860,13,3700,"$1,099,950 ","$1,102,500 ",1889,4,2,1,Y,2,1977,"5,620",,3/15/19
40853195,10,3700,"$1,199,000 ","$1,255,000 ",1409,4,3,,Y,2,1958,"5,000",,3/15/19
40852647,10,3700,"$1,449,800 ","$1,450,000 ",1810,4,3,0,Y,2,1959,"6,048",,3/15/19
40851759,14,3700,"$849,000 ","$880,000 ",1000,3,1,0,Y,2,1958,"5,000",,3/18/19
40851541,21,3700,"$1,399,888 ","$1,350,000 ",1647,4,2,0,Y,2,1972,"6,772",438,3/18/19
ML81735671,32,3700,"$1,399,888 ","$1,350,000 ",1647,4,2,,Y,2,1972,"6,772",438,3/18/19
40852792,13,3700,"$1,649,800 ","$1,700,000 ",2287,4,2,1,Y,2,2009,"6,420",,3/18/19
40847636,69,3700,"$3,000,000 ","$2,900,000 ",4815,5,4,1,Y,3,1993,"19,812",,3/18/19
ML81738025,20,3500,"$811,100 ","$775,000 ",768,2,2,,Y,3,1914,"7,500",,3/19/19
SF480979,21,3700,"$811,100 ","$775,000 ",768,2,2,0,,0,1914,"7,500",,3/19/19
40852477,21,3700,"$811,100 ","$775,000 ",768,2,2,,Y,3,1914,"7,500",,3/19/19
ML81735556,33,3700,"$899,000 ","$915,000 ",1335,3,2,,Y,2,1970,"3,120",,3/19/19
ME19005016,22,3700,"$999,999 ","$970,000 ",1494,4,2,0,,2,1970,"5,800",,3/19/19
40852729,11,3700,"$2,050,000 ","$2,000,000 ",3655,4,3,1,Y,3,1990,"20,107",,3/19/19
40852579,12,3700,"$2,400,000 ","$2,500,000 ",3783,5,3,1,Y,3,1978,"14,442",,3/19/19
40853182,10,3700,"$689,000 ","$730,000 ",960,2,1,0,Y,2,1971,"3,042",,3/20/19
BA21829510,41,21101,"$2,400,000 ","$2,300,000 ",3707,5,3,0,,3,1979,"14,823",,3/21/19
40850244,27,3700,"$849,000 ","$880,000 ",1092,3,2,0,Y,2,1927,"5,081",,3/21/19
